Immagine 12288x16320
Errore medio sui pixel pre-filtro (Rumore): 40.8496 (MAE su scala 0-255)
Thread: 10 	|| Run: 4 	|| Tempo: 56 ms
Thread: 10 	|| Run: 5 	|| Tempo: 55 ms
Thread: 10 	|| Run: 6 	|| Tempo: 56 ms
Thread: 10 	|| Run: 7 	|| Tempo: 56 ms
Thread: 10 	|| Run: 8 	|| Tempo: 57 ms
Thread: 10 	|| Run: 9 	|| Tempo: 59 ms
Thread: 9 	|| Run: 0 	|| Tempo: 58 ms
Thread: 9 	|| Run: 1 	|| Tempo: 57 ms
Thread: 9 	|| Run: 2 	|| Tempo: 57 ms
Thread: 9 	|| Run: 3 	|| Tempo: 57 ms
Thread: 9 	|| Run: 4 	|| Tempo: 56 ms
Thread: 9 	|| Run: 5 	|| Tempo: 57 ms
Thread: 9 	|| Run: 6 	|| Tempo: 58 ms
Thread: 9 	|| Run: 7 	|| Tempo: 57 ms
Thread: 9 	|| Run: 8 	|| Tempo: 57 ms
Thread: 9 	|| Run: 9 	|| Tempo: 56 ms
Thread: 8 	|| Run: 0 	|| Tempo: 58 ms
Thread: 8 	|| Run: 1 	|| Tempo: 59 ms
Thread: 8 	|| Run: 2 	|| Tempo: 59 ms
Thread: 8 	|| Run: 3 	|| Tempo: 59 ms
Thread: 8 	|| Run: 4 	|| Tempo: 59 ms
Thread: 8 	|| Run: 5 	|| Tempo: 60 ms
Thread: 8 	|| Run: 6 	|| Tempo: 59 ms
Thread: 8 	|| Run: 7 	|| Tempo: 60 ms
Thread: 8 	|| Run: 8 	|| Tempo: 60 ms
Thread: 8 	|| Run: 9 	|| Tempo: 60 ms
Thread: 7 	|| Run: 0 	|| Tempo: 60 ms
Thread: 7 	|| Run: 1 	|| Tempo: 59 ms
Thread: 7 	|| Run: 2 	|| Tempo: 61 ms
Thread: 7 	|| Run: 3 	|| Tempo: 63 ms
Thread: 7 	|| Run: 4 	|| Tempo: 61 ms
Thread: 7 	|| Run: 5 	|| Tempo: 60 ms
Thread: 7 	|| Run: 6 	|| Tempo: 60 ms
Thread: 7 	|| Run: 7 	|| Tempo: 61 ms
Thread: 7 	|| Run: 8 	|| Tempo: 60 ms
Thread: 7 	|| Run: 9 	|| Tempo: 60 ms
Thread: 6 	|| Run: 0 	|| Tempo: 62 ms
Thread: 6 	|| Run: 1 	|| Tempo: 61 ms
Thread: 6 	|| Run: 2 	|| Tempo: 63 ms
Thread: 6 	|| Run: 3 	|| Tempo: 66 ms
Thread: 6 	|| Run: 4 	|| Tempo: 62 ms
Thread: 6 	|| Run: 5 	|| Tempo: 61 ms
Thread: 6 	|| Run: 6 	|| Tempo: 62 ms
Thread: 6 	|| Run: 7 	|| Tempo: 61 ms
Thread: 6 	|| Run: 8 	|| Tempo: 62 ms
Thread: 6 	|| Run: 9 	|| Tempo: 62 ms
