image,threads,kernel,bucket,run,time_ms,error
img1,1,5,256,1,9959,2.54997
img1,1,5,256,2,9934,2.54997
img1,1,5,256,3,9974,2.54997
img1,1,5,256,4,10079,2.54997
img1,1,5,256,5,10121,2.54997
img1,1,5,256,6,10218,2.54997
img1,1,5,256,7,10363,2.54997
img1,1,5,256,8,9942,2.54997
img1,1,5,256,9,10409,2.54997
img1,1,5,256,10,10405,2.54997
img1,2,5,256,1,5346,2.54997
img1,2,5,256,2,5354,2.54997
img1,2,5,256,3,5369,2.54997
img1,2,5,256,4,5362,2.54997
img1,2,5,256,5,5358,2.54997
img1,2,5,256,6,5368,2.54997
img1,2,5,256,7,5363,2.54997
img1,2,5,256,8,5364,2.54997
img1,2,5,256,9,5365,2.54997
img1,2,5,256,10,5371,2.54997
img1,3,5,256,1,3613,2.54997
img1,3,5,256,2,3951,2.54997
img1,3,5,256,3,3616,2.54997
img1,3,5,256,4,3617,2.54997
img1,3,5,256,5,3866,2.54997
img1,3,5,256,6,3616,2.54997
img1,3,5,256,7,4029,2.54997
img1,3,5,256,8,4021,2.54997
img1,3,5,256,9,4095,2.54997
img1,3,5,256,10,3865,2.54997
img1,4,5,256,1,2753,2.54997
img1,4,5,256,2,3179,2.54997
img1,4,5,256,3,2744,2.54997
img1,4,5,256,4,3175,2.54997
img1,4,5,256,5,3180,2.54997
img1,4,5,256,6,3205,2.54997
img1,4,5,256,7,3513,2.54997
img1,4,5,256,8,3168,2.54997
img1,4,5,256,9,3224,2.54997
img1,4,5,256,10,2734,2.54997
img1,5,5,256,1,2285,2.54997
img1,5,5,256,2,2286,2.54997
img1,5,5,256,3,2942,2.54997
img1,5,5,256,4,3084,2.54997
img1,5,5,256,5,2286,2.54997
img1,5,5,256,6,2289,2.54997
img1,5,5,256,7,2287,2.54997
img1,5,5,256,8,2287,2.54997
img1,5,5,256,9,2956,2.54997
img1,5,5,256,10,2292,2.54997
img1,6,5,256,1,1905,2.54997
img1,6,5,256,2,1908,2.54997
img1,6,5,256,3,2570,2.54997
img1,6,5,256,4,1905,2.54997
img1,6,5,256,5,1911,2.54997
img1,6,5,256,6,2100,2.54997
img1,6,5,256,7,2926,2.54997
img1,6,5,256,8,1908,2.54997
img1,6,5,256,9,2593,2.54997
img1,6,5,256,10,1905,2.54997
img1,7,5,256,1,1697,2.54997
img1,7,5,256,2,2728,2.54997
img1,7,5,256,3,1698,2.54997
img1,7,5,256,4,2583,2.54997
img1,7,5,256,5,1700,2.54997
img1,7,5,256,6,2424,2.54997
img1,7,5,256,7,2470,2.54997
img1,7,5,256,8,1804,2.54997
img1,7,5,256,9,2784,2.54997
img1,7,5,256,10,1698,2.54997
img1,8,5,256,1,2265,2.54997
img1,8,5,256,2,2332,2.54997
img1,8,5,256,3,1672,2.54997
img1,8,5,256,4,1532,2.54997
img1,8,5,256,5,2185,2.54997
img1,8,5,256,6,2234,2.54997
img1,8,5,256,7,2464,2.54997
img1,8,5,256,8,2541,2.54997
img1,8,5,256,9,1530,2.54997
img1,8,5,256,10,2513,2.54997
img1,9,5,256,1,2215,2.54997
img1,9,5,256,2,2163,2.54997
img1,9,5,256,3,2181,2.54997
img1,9,5,256,4,1394,2.54997
img1,9,5,256,5,1397,2.54997
img1,9,5,256,6,1395,2.54997
img1,9,5,256,7,1390,2.54997
img1,9,5,256,8,2519,2.54997
img1,9,5,256,9,1398,2.54997
img1,9,5,256,10,1422,2.54997
img1,10,5,256,1,2184,2.54997
img1,10,5,256,2,1415,2.54997
img1,10,5,256,3,1403,2.54997
img1,10,5,256,4,1279,2.54997
img1,10,5,256,5,1276,2.54997
img1,10,5,256,6,1284,2.54997
img1,10,5,256,7,1921,2.54997
img1,10,5,256,8,1285,2.54997
img1,10,5,256,9,2289,2.54997
img1,10,5,256,10,2021,2.54997
img1,11,5,256,1,1186,2.54997
img1,11,5,256,2,2199,2.54997
img1,11,5,256,3,1995,2.54997
img1,11,5,256,4,1191,2.54997
img1,11,5,256,5,2168,2.54997
img1,11,5,256,6,2447,2.54997
img1,11,5,256,7,2156,2.54997
img1,11,5,256,8,1193,2.54997
img1,11,5,256,9,1244,2.54997
img1,11,5,256,10,1186,2.54997
img1,12,5,256,1,1217,2.54997
img1,12,5,256,2,1107,2.54997
img1,12,5,256,3,1894,2.54997
img1,12,5,256,4,1184,2.54997
img1,12,5,256,5,1325,2.54997
img1,12,5,256,6,1428,2.54997
img1,12,5,256,7,1789,2.54997
img1,12,5,256,8,2142,2.54997
img1,12,5,256,9,2225,2.54997
img1,12,5,256,10,1193,2.54997
img1,13,5,256,1,1048,2.54997
img1,13,5,256,2,1060,2.54997
img1,13,5,256,3,1153,2.54997
img1,13,5,256,4,1048,2.54997
img1,13,5,256,5,2235,2.54997
img1,13,5,256,6,1073,2.54997
img1,13,5,256,7,1052,2.54997
img1,13,5,256,8,1060,2.54997
img1,13,5,256,9,1064,2.54997
img1,13,5,256,10,1974,2.54997
img1,14,5,256,1,1051,2.54997
img1,14,5,256,2,1292,2.54997
img1,14,5,256,3,1010,2.54997
img1,14,5,256,4,1009,2.54997
img1,14,5,256,5,1011,2.54997
img1,14,5,256,6,1883,2.54997
img1,14,5,256,7,2295,2.54997
img1,14,5,256,8,1719,2.54997
img1,14,5,256,9,1125,2.54997
img1,14,5,256,10,1251,2.54997
img1,15,5,256,1,2275,2.54997
img1,15,5,256,2,1226,2.54997
img1,15,5,256,3,1148,2.54997
img1,15,5,256,4,1251,2.54997
img1,15,5,256,5,1006,2.54997
img1,15,5,256,6,984,2.54997
img1,15,5,256,7,986,2.54997
img1,15,5,256,8,1007,2.54997
img1,15,5,256,9,2183,2.54997
img1,15,5,256,10,1726,2.54997
img1,16,5,256,1,967,2.54997
img1,16,5,256,2,955,2.54997
img1,16,5,256,3,992,2.54997
img1,16,5,256,4,1835,2.54997
img1,16,5,256,5,978,2.54997
img1,16,5,256,6,2093,2.54997
img1,16,5,256,7,1828,2.54997
img1,16,5,256,8,1955,2.54997
img1,16,5,256,9,977,2.54997
img1,16,5,256,10,972,2.54997
img1,17,5,256,1,934,2.54997
img1,17,5,256,2,953,2.54997
img1,17,5,256,3,1912,2.54997
img1,17,5,256,4,1674,2.54997
img1,17,5,256,5,1194,2.54997
img1,17,5,256,6,1194,2.54997
img1,17,5,256,7,948,2.54997
img1,17,5,256,8,958,2.54997
img1,17,5,256,9,1919,2.54997
img1,17,5,256,10,1930,2.54997
img1,18,5,256,1,896,2.54997
img1,18,5,256,2,1213,2.54997
img1,18,5,256,3,1615,2.54997
img1,18,5,256,4,931,2.54997
img1,18,5,256,5,936,2.54997
img1,18,5,256,6,1740,2.54997
img1,18,5,256,7,965,2.54997
img1,18,5,256,8,1179,2.54997
img1,18,5,256,9,1180,2.54997
img1,18,5,256,10,1179,2.54997
img1,19,5,256,1,908,2.54997
img1,19,5,256,2,905,2.54997
img1,19,5,256,3,896,2.54997
img1,19,5,256,4,1928,2.54997
img1,19,5,256,5,1153,2.54997
img1,19,5,256,6,893,2.54997
img1,19,5,256,7,894,2.54997
img1,19,5,256,8,897,2.54997
img1,19,5,256,9,2068,2.54997
img1,19,5,256,10,1933,2.54997
img1,20,5,256,1,872,2.54997
img1,20,5,256,2,871,2.54997
img1,20,5,256,3,1822,2.54997
img1,20,5,256,4,869,2.54997
img1,20,5,256,5,874,2.54997
img1,20,5,256,6,1499,2.54997
img1,20,5,256,7,1946,2.54997
img1,20,5,256,8,886,2.54997
img1,20,5,256,9,877,2.54997
img1,20,5,256,10,2010,2.54997
img2,1,5,256,1,10487,2.9115
img2,1,5,256,2,10190,2.9115
img2,1,5,256,3,10466,2.9115
img2,1,5,256,4,10190,2.9115
img2,1,5,256,5,10444,2.9115
img2,1,5,256,6,10424,2.9115
img2,1,5,256,7,10620,2.9115
img2,1,5,256,8,10463,2.9115
img2,1,5,256,9,10494,2.9115
img2,1,5,256,10,10190,2.9115
img2,2,5,256,1,5617,2.9115
img2,2,5,256,2,5391,2.9115
img2,2,5,256,3,5392,2.9115
img2,2,5,256,4,5429,2.9115
img2,2,5,256,5,5460,2.9115
img2,2,5,256,6,5461,2.9115
img2,2,5,256,7,5689,2.9115
img2,2,5,256,8,5426,2.9115
img2,2,5,256,9,5545,2.9115
