image,threads,kernel,bucket,run,time_ms,error
img2,2,5,256,10,5429,2.9115
img2,3,5,256,1,4030,2.9115
img2,3,5,256,2,3671,2.9115
img2,3,5,256,3,3675,2.9115
img2,3,5,256,4,3869,2.9115
img2,3,5,256,5,3996,2.9115
img2,3,5,256,6,3959,2.9115
img2,3,5,256,7,3957,2.9115
img2,3,5,256,8,3790,2.9115
img2,3,5,256,9,3676,2.9115
img2,3,5,256,10,3681,2.9115
img2,4,5,256,1,3329,2.9115
img2,4,5,256,2,2788,2.9115
img2,4,5,256,3,3493,2.9115
img2,4,5,256,4,2772,2.9115
img2,4,5,256,5,2801,2.9115
img2,4,5,256,6,2790,2.9115
img2,4,5,256,7,3549,2.9115
img2,4,5,256,8,3251,2.9115
img2,4,5,256,9,3045,2.9115
img2,4,5,256,10,3254,2.9115
img2,5,5,256,1,2340,2.9115
img2,5,5,256,2,2342,2.9115
img2,5,5,256,3,2422,2.9115
img2,5,5,256,4,2339,2.9115
img2,5,5,256,5,3129,2.9115
img2,5,5,256,6,2916,2.9115
img2,5,5,256,7,3027,2.9115
img2,5,5,256,8,2342,2.9115
img2,5,5,256,9,2342,2.9115
img2,5,5,256,10,2339,2.9115
img2,6,5,256,1,1952,2.9115
img2,6,5,256,2,2397,2.9115
img2,6,5,256,3,1955,2.9115
img2,6,5,256,4,1953,2.9115
img2,6,5,256,5,2606,2.9115
img2,6,5,256,6,1958,2.9115
img2,6,5,256,7,1953,2.9115
img2,6,5,256,8,1955,2.9115
img2,6,5,256,9,1953,2.9115
img2,6,5,256,10,1953,2.9115
img2,7,5,256,1,1735,2.9115
img2,7,5,256,2,1734,2.9115
img2,7,5,256,3,1733,2.9115
img2,7,5,256,4,1733,2.9115
img2,7,5,256,5,2548,2.9115
img2,7,5,256,6,3037,2.9115
img2,7,5,256,7,2421,2.9115
img2,7,5,256,8,1729,2.9115
img2,7,5,256,9,2590,2.9115
img2,7,5,256,10,2645,2.9115
img2,8,5,256,1,1559,2.9115
img2,8,5,256,2,2455,2.9115
img2,8,5,256,3,1563,2.9115
img2,8,5,256,4,2819,2.9115
img2,8,5,256,5,1588,2.9115
img2,8,5,256,6,1557,2.9115
img2,8,5,256,7,1558,2.9115
img2,8,5,256,8,1562,2.9115
img2,8,5,256,9,1561,2.9115
img2,8,5,256,10,1892,2.9115
img2,9,5,256,1,1418,2.9115
img2,9,5,256,2,2332,2.9115
img2,9,5,256,3,2294,2.9115
img2,9,5,256,4,1930,2.9115
img2,9,5,256,5,1419,2.9115
img2,9,5,256,6,1511,2.9115
img2,9,5,256,7,1420,2.9115
img2,9,5,256,8,2263,2.9115
img2,9,5,256,9,2305,2.9115
img2,9,5,256,10,1421,2.9115
img2,10,5,256,1,2011,2.9115
img2,10,5,256,2,2042,2.9115
img2,10,5,256,3,2305,2.9115
img2,10,5,256,4,1303,2.9115
img2,10,5,256,5,2409,2.9115
img2,10,5,256,6,1694,2.9115
img2,10,5,256,7,2001,2.9115
img2,10,5,256,8,1505,2.9115
img2,10,5,256,9,1497,2.9115
img2,10,5,256,10,2117,2.9115
img2,11,5,256,1,1987,2.9115
img2,11,5,256,2,2041,2.9115
img2,11,5,256,3,2433,2.9115
img2,11,5,256,4,1214,2.9115
img2,11,5,256,5,1216,2.9115
img2,11,5,256,6,2057,2.9115
img2,11,5,256,7,1225,2.9115
img2,11,5,256,8,1215,2.9115
img2,11,5,256,9,2305,2.9115
img2,11,5,256,10,1215,2.9115
img2,12,5,256,1,1179,2.9115
img2,12,5,256,2,1159,2.9115
img2,12,5,256,3,1184,2.9115
img2,12,5,256,4,1134,2.9115
img2,12,5,256,5,1158,2.9115
img2,12,5,256,6,1181,2.9115
img2,12,5,256,7,2170,2.9115
img2,12,5,256,8,2452,2.9115
img2,12,5,256,9,1172,2.9115
img2,12,5,256,10,1160,2.9115
img2,13,5,256,1,1819,2.9115
img2,13,5,256,2,1120,2.9115
img2,13,5,256,3,1108,2.9115
img2,13,5,256,4,1065,2.9115
img2,13,5,256,5,1119,2.9115
img2,13,5,256,6,1128,2.9115
img2,13,5,256,7,2185,2.9115
img2,13,5,256,8,2150,2.9115
img2,13,5,256,9,1095,2.9115
img2,13,5,256,10,1090,2.9115
img2,14,5,256,1,1049,2.9115
img2,14,5,256,2,1055,2.9115
img2,14,5,256,3,1051,2.9115
img2,14,5,256,4,1058,2.9115
img2,14,5,256,5,1055,2.9115
img2,14,5,256,6,1053,2.9115
img2,14,5,256,7,2072,2.9115
img2,14,5,256,8,1712,2.9115
img2,14,5,256,9,2241,2.9115
img2,14,5,256,10,1976,2.9115
img2,15,5,256,1,1970,2.9115
img2,15,5,256,2,2251,2.9115
img2,15,5,256,3,1012,2.9115
img2,15,5,256,4,1008,2.9115
img2,15,5,256,5,1021,2.9115
img2,15,5,256,6,2312,2.9115
img2,15,5,256,7,2231,2.9115
img2,15,5,256,8,1815,2.9115
img2,15,5,256,9,1818,2.9115
img2,15,5,256,10,1018,2.9115
img2,16,5,256,1,2075,2.9115
img2,16,5,256,2,2329,2.9115
img2,16,5,256,3,1970,2.9115
img2,16,5,256,4,1029,2.9115
img2,16,5,256,5,1910,2.9115
img2,16,5,256,6,1000,2.9115
img2,16,5,256,7,1002,2.9115
img2,16,5,256,8,1000,2.9115
img2,16,5,256,9,982,2.9115
img2,16,5,256,10,1003,2.9115
img2,17,5,256,1,972,2.9115
img2,17,5,256,2,971,2.9115
img2,17,5,256,3,971,2.9115
img2,17,5,256,4,973,2.9115
img2,17,5,256,5,971,2.9115
img2,17,5,256,6,957,2.9115
img2,17,5,256,7,1831,2.9115
img2,17,5,256,8,2016,2.9115
img2,17,5,256,9,1414,2.9115
img2,17,5,256,10,975,2.9115
img2,18,5,256,1,1163,2.9115
img2,18,5,256,2,2114,2.9115
img2,18,5,256,3,2041,2.9115
img2,18,5,256,4,1947,2.9115
img2,18,5,256,5,1878,2.9115
img2,18,5,256,6,2062,2.9115
img2,18,5,256,7,1939,2.9115
img2,18,5,256,8,1983,2.9115
img2,18,5,256,9,946,2.9115
img2,18,5,256,10,948,2.9115
img2,19,5,256,1,923,2.9115
img2,19,5,256,2,1763,2.9115
img2,19,5,256,3,925,2.9115
img2,19,5,256,4,922,2.9115
img2,19,5,256,5,923,2.9115
img2,19,5,256,6,923,2.9115
img2,19,5,256,7,923,2.9115
img2,19,5,256,8,920,2.9115
img2,19,5,256,9,918,2.9115
img2,19,5,256,10,1788,2.9115
img2,20,5,256,1,1229,2.9115
img2,20,5,256,2,893,2.9115
img2,20,5,256,3,889,2.9115
img2,20,5,256,4,1032,2.9115
img2,20,5,256,5,891,2.9115
img2,20,5,256,6,898,2.9115
img2,20,5,256,7,1156,2.9115
img2,20,5,256,8,895,2.9115
img2,20,5,256,9,894,2.9115
img2,20,5,256,10,922,2.9115
img3,1,5,256,1,10560,2.56647
img3,1,5,256,2,10535,2.56647
img3,1,5,256,3,10580,2.56647
img3,1,5,256,4,10564,2.56647
img3,1,5,256,5,10464,2.56647
img3,1,5,256,6,10476,2.56647
img3,1,5,256,7,10096,2.56647
img3,1,5,256,8,10497,2.56647
img3,1,5,256,9,10494,2.56647
img3,1,5,256,10,10455,2.56647
img3,2,5,256,1,5382,2.56647
img3,2,5,256,2,5398,2.56647
img3,2,5,256,3,5398,2.56647
img3,2,5,256,4,5406,2.56647
img3,2,5,256,5,5591,2.56647
img3,2,5,256,6,5415,2.56647
img3,2,5,256,7,5406,2.56647
img3,2,5,256,8,5418,2.56647
img3,2,5,256,9,5415,2.56647
img3,2,5,256,10,5417,2.56647
img3,3,5,256,1,3649,2.56647
img3,3,5,256,2,3657,2.56647
img3,3,5,256,3,3650,2.56647
img3,3,5,256,4,3660,2.56647
img3,3,5,256,5,4186,2.56647
img3,3,5,256,6,3891,2.56647
img3,3,5,256,7,3657,2.56647
img3,3,5,256,8,3642,2.56647
img3,3,5,256,9,3663,2.56647
img3,3,5,256,10,3647,2.56647
img3,4,5,256,1,2759,2.56647
img3,4,5,256,2,3210,2.56647
img3,4,5,256,3,3294,2.56647
img3,4,5,256,4,3157,2.56647
img3,4,5,256,5,3233,2.56647
img3,4,5,256,6,2787,2.56647
img3,4,5,256,7,2772,2.56647
img3,4,5,256,8,3158,2.56647
img3,4,5,256,9,2778,2.56647
img3,4,5,256,10,2761,2.56647
img3,5,5,256,1,3219,2.56647
img3,5,5,256,2,2321,2.56647
img3,5,5,256,3,2320,2.56647
img3,5,5,256,4,2319,2.56647
img3,5,5,256,5,2317,2.56647
img3,5,5,256,6,2348,2.56647
img3,5,5,256,7,2319,2.56647
img3,5,5,256,8,2317,2.56647
img3,5,5,256,9,2318,2.56647
img3,5,5,256,10,2317,2.56647
img3,6,5,256,1,1934,2.56647
img3,6,5,256,2,1932,2.56647
img3,6,5,256,3,1934,2.56647
img3,6,5,256,4,2769,2.56647
img3,6,5,256,5,1933,2.56647
img3,6,5,256,6,1930,2.56647
img3,6,5,256,7,1935,2.56647
img3,6,5,256,8,2712,2.56647
img3,6,5,256,9,1933,2.56647
img3,6,5,256,10,1931,2.56647
img3,7,5,256,1,2404,2.56647
img3,7,5,256,2,2472,2.56647
img3,7,5,256,3,2889,2.56647
img3,7,5,256,4,2567,2.56647
img3,7,5,256,5,1716,2.56647
img3,7,5,256,6,2406,2.56647
img3,7,5,256,7,1881,2.56647
img3,7,5,256,8,1717,2.56647
img3,7,5,256,9,1718,2.56647
img3,7,5,256,10,1717,2.56647
img3,8,5,256,1,1551,2.56647
img3,8,5,256,2,2171,2.56647
img3,8,5,256,3,1556,2.56647
img3,8,5,256,4,2273,2.56647
img3,8,5,256,5,2326,2.56647
img3,8,5,256,6,1546,2.56647
img3,8,5,256,7,1550,2.56647
img3,8,5,256,8,1826,2.56647
img3,8,5,256,9,1548,2.56647
img3,8,5,256,10,1547,2.56647
img3,9,5,256,1,1465,2.56647
img3,9,5,256,2,1413,2.56647
img3,9,5,256,3,1411,2.56647
img3,9,5,256,4,1759,2.56647
img3,9,5,256,5,1409,2.56647
img3,9,5,256,6,1412,2.56647
img3,9,5,256,7,1413,2.56647
img3,9,5,256,8,2393,2.56647
img3,9,5,256,9,1730,2.56647
img3,9,5,256,10,1618,2.56647
img3,10,5,256,1,1296,2.56647
img3,10,5,256,2,1990,2.56647
img3,10,5,256,3,2207,2.56647
img3,10,5,256,4,2606,2.56647
img3,10,5,256,5,1307,2.56647
img3,10,5,256,6,1295,2.56647
img3,10,5,256,7,1321,2.56647
img3,10,5,256,8,2494,2.56647
img3,10,5,256,9,2059,2.56647
img3,10,5,256,10,1515,2.56647
img3,11,5,256,1,1214,2.56647
img3,11,5,256,2,1203,2.56647
img3,11,5,256,3,1495,2.56647
img3,11,5,256,4,1205,2.56647
img3,11,5,256,5,1222,2.56647
img3,11,5,256,6,1206,2.56647
img3,11,5,256,7,1225,2.56647
img3,11,5,256,8,1215,2.56647
img3,11,5,256,9,1219,2.56647
img3,11,5,256,10,1218,2.56647
img3,12,5,256,1,1986,2.56647
img3,12,5,256,2,1128,2.56647
img3,12,5,256,3,1140,2.56647
img3,12,5,256,4,1156,2.56647
img3,12,5,256,5,1156,2.56647
img3,12,5,256,6,2030,2.56647
img3,12,5,256,7,1161,2.56647
img3,12,5,256,8,2549,2.56647
img3,12,5,256,9,1124,2.56647
img3,12,5,256,10,1129,2.56647
img3,13,5,256,1,1081,2.56647
img3,13,5,256,2,2170,2.56647
img3,13,5,256,3,1870,2.56647
img3,13,5,256,4,1094,2.56647
img3,13,5,256,5,1092,2.56647
img3,13,5,256,6,1081,2.56647
img3,13,5,256,7,1095,2.56647
img3,13,5,256,8,1053,2.56647
img3,13,5,256,9,1079,2.56647
img3,13,5,256,10,2213,2.56647
img3,14,5,256,1,2172,2.56647
img3,14,5,256,2,1030,2.56647
img3,14,5,256,3,1029,2.56647
img3,14,5,256,4,1035,2.56647
img3,14,5,256,5,1031,2.56647
img3,14,5,256,6,1039,2.56647
img3,14,5,256,7,1727,2.56647
img3,14,5,256,8,1903,2.56647
img3,14,5,256,9,1030,2.56647
img3,14,5,256,10,1033,2.56647
img3,15,5,256,1,1021,2.56647
img3,15,5,256,2,1591,2.56647
img3,15,5,256,3,1005,2.56647
img3,15,5,256,4,1023,2.56647
img3,15,5,256,5,1007,2.56647
img3,15,5,256,6,1008,2.56647
img3,15,5,256,7,1008,2.56647
img3,15,5,256,8,1012,2.56647
img3,15,5,256,9,1011,2.56647
img3,15,5,256,10,1899,2.56647
img3,16,5,256,1,978,2.56647
img3,16,5,256,2,1822,2.56647
img3,16,5,256,3,2018,2.56647
img3,16,5,256,4,995,2.56647
img3,16,5,256,5,998,2.56647
img3,16,5,256,6,979,2.56647
img3,16,5,256,7,973,2.56647
img3,16,5,256,8,976,2.56647
img3,16,5,256,9,2103,2.56647
img3,16,5,256,10,1784,2.56647
img3,17,5,256,1,959,2.56647
img3,17,5,256,2,961,2.56647
img3,17,5,256,3,948,2.56647
img3,17,5,256,4,961,2.56647
img3,17,5,256,5,966,2.56647
img3,17,5,256,6,1751,2.56647
img3,17,5,256,7,1799,2.56647
img3,17,5,256,8,2017,2.56647
img3,17,5,256,9,956,2.56647
img3,17,5,256,10,2128,2.56647
img3,18,5,256,1,1673,2.56647
img3,18,5,256,2,1450,2.56647
img3,18,5,256,3,932,2.56647
img3,18,5,256,4,937,2.56647
img3,18,5,256,5,935,2.56647
img3,18,5,256,6,2154,2.56647
img3,18,5,256,7,932,2.56647
img3,18,5,256,8,935,2.56647
img3,18,5,256,9,939,2.56647
img3,18,5,256,10,931,2.56647
img3,19,5,256,1,1193,2.56647
img3,19,5,256,2,909,2.56647
img3,19,5,256,3,911,2.56647
img3,19,5,256,4,910,2.56647
img3,19,5,256,5,908,2.56647
img3,19,5,256,6,911,2.56647
img3,19,5,256,7,946,2.56647
img3,19,5,256,8,906,2.56647
img3,19,5,256,9,1674,2.56647
img3,19,5,256,10,1196,2.56647
img3,20,5,256,1,878,2.56647
img3,20,5,256,2,1943,2.56647
img3,20,5,256,3,878,2.56647
img3,20,5,256,4,880,2.56647
img3,20,5,256,5,1877,2.56647
img3,20,5,256,6,1757,2.56647
img3,20,5,256,7,1829,2.56647
img3,20,5,256,8,891,2.56647
img3,20,5,256,9,1995,2.56647
img3,20,5,256,10,1997,2.56647
