Thread: 10 	|| Run: 4 	|| Tempo: 1330 ms
Thread: 10 	|| Run: 5 	|| Tempo: 2117 ms
Thread: 10 	|| Run: 6 	|| Tempo: 1447 ms
Thread: 10 	|| Run: 7 	|| Tempo: 1322 ms
Thread: 10 	|| Run: 8 	|| Tempo: 1345 ms
Thread: 10 	|| Run: 9 	|| Tempo: 1338 ms
Thread: 9 	|| Run: 0 	|| Tempo: 1437 ms
Thread: 9 	|| Run: 1 	|| Tempo: 1437 ms
Thread: 9 	|| Run: 2 	|| Tempo: 1434 ms
Thread: 9 	|| Run: 3 	|| Tempo: 1436 ms
Thread: 9 	|| Run: 4 	|| Tempo: 1431 ms
Thread: 9 	|| Run: 5 	|| Tempo: 1436 ms
Thread: 9 	|| Run: 6 	|| Tempo: 1436 ms
Thread: 9 	|| Run: 7 	|| Tempo: 1438 ms
Thread: 9 	|| Run: 8 	|| Tempo: 1447 ms
Thread: 9 	|| Run: 9 	|| Tempo: 1435 ms
Thread: 8 	|| Run: 0 	|| Tempo: 1574 ms
Thread: 8 	|| Run: 1 	|| Tempo: 1578 ms
Thread: 8 	|| Run: 2 	|| Tempo: 2197 ms
Thread: 8 	|| Run: 3 	|| Tempo: 1718 ms
Thread: 8 	|| Run: 4 	|| Tempo: 1576 ms
Thread: 8 	|| Run: 5 	|| Tempo: 1577 ms
Thread: 8 	|| Run: 6 	|| Tempo: 1572 ms
Thread: 8 	|| Run: 7 	|| Tempo: 1572 ms
Thread: 8 	|| Run: 8 	|| Tempo: 1572 ms
Thread: 8 	|| Run: 9 	|| Tempo: 1578 ms
Thread: 7 	|| Run: 0 	|| Tempo: 1713 ms
Thread: 7 	|| Run: 1 	|| Tempo: 1714 ms
Thread: 7 	|| Run: 2 	|| Tempo: 1716 ms
Thread: 7 	|| Run: 3 	|| Tempo: 1717 ms
Thread: 7 	|| Run: 4 	|| Tempo: 1722 ms
Thread: 7 	|| Run: 5 	|| Tempo: 1719 ms
Thread: 7 	|| Run: 6 	|| Tempo: 2317 ms
Thread: 7 	|| Run: 7 	|| Tempo: 2247 ms
Thread: 7 	|| Run: 8 	|| Tempo: 1791 ms
Thread: 7 	|| Run: 9 	|| Tempo: 1715 ms
Thread: 6 	|| Run: 0 	|| Tempo: 1889 ms
Thread: 6 	|| Run: 1 	|| Tempo: 1887 ms
Thread: 6 	|| Run: 2 	|| Tempo: 1891 ms
Thread: 6 	|| Run: 3 	|| Tempo: 1887 ms
Thread: 6 	|| Run: 4 	|| Tempo: 1896 ms
Thread: 6 	|| Run: 5 	|| Tempo: 1890 ms
Thread: 6 	|| Run: 6 	|| Tempo: 1889 ms
Thread: 6 	|| Run: 7 	|| Tempo: 1894 ms
Thread: 6 	|| Run: 8 	|| Tempo: 1890 ms
Thread: 6 	|| Run: 9 	|| Tempo: 1893 ms
Thread: 5 	|| Run: 0 	|| Tempo: 2259 ms
Thread: 5 	|| Run: 1 	|| Tempo: 2251 ms
Thread: 5 	|| Run: 2 	|| Tempo: 2248 ms
Thread: 5 	|| Run: 3 	|| Tempo: 2251 ms
Thread: 5 	|| Run: 4 	|| Tempo: 2254 ms
Thread: 5 	|| Run: 5 	|| Tempo: 2254 ms
Thread: 5 	|| Run: 6 	|| Tempo: 2252 ms
Thread: 5 	|| Run: 7 	|| Tempo: 2254 ms
Thread: 5 	|| Run: 8 	|| Tempo: 2230 ms
Thread: 5 	|| Run: 9 	|| Tempo: 2256 ms
Thread: 4 	|| Run: 0 	|| Tempo: 2736 ms
Thread: 4 	|| Run: 1 	|| Tempo: 2738 ms
Thread: 4 	|| Run: 2 	|| Tempo: 2682 ms
Thread: 4 	|| Run: 3 	|| Tempo: 2683 ms
Thread: 4 	|| Run: 4 	|| Tempo: 2720 ms
Thread: 4 	|| Run: 5 	|| Tempo: 2731 ms
Thread: 4 	|| Run: 6 	|| Tempo: 2744 ms
Thread: 4 	|| Run: 7 	|| Tempo: 2682 ms
Thread: 4 	|| Run: 8 	|| Tempo: 2783 ms
Thread: 4 	|| Run: 9 	|| Tempo: 2736 ms
Thread: 3 	|| Run: 0 	|| Tempo: 3583 ms
Thread: 3 	|| Run: 1 	|| Tempo: 3592 ms
Thread: 3 	|| Run: 2 	|| Tempo: 3575 ms
Thread: 3 	|| Run: 3 	|| Tempo: 3555 ms
Thread: 3 	|| Run: 4 	|| Tempo: 3582 ms
Thread: 3 	|| Run: 5 	|| Tempo: 3522 ms
Thread: 3 	|| Run: 6 	|| Tempo: 3541 ms
Thread: 3 	|| Run: 7 	|| Tempo: 3604 ms
Thread: 3 	|| Run: 8 	|| Tempo: 3520 ms
Thread: 3 	|| Run: 9 	|| Tempo: 3594 ms
Thread: 2 	|| Run: 0 	|| Tempo: 5260 ms
Thread: 2 	|| Run: 1 	|| Tempo: 5260 ms
Thread: 2 	|| Run: 2 	|| Tempo: 5254 ms
Thread: 2 	|| Run: 3 	|| Tempo: 5274 ms
Thread: 2 	|| Run: 4 	|| Tempo: 5257 ms
Thread: 2 	|| Run: 5 	|| Tempo: 5251 ms
Thread: 2 	|| Run: 6 	|| Tempo: 5250 ms
Thread: 2 	|| Run: 7 	|| Tempo: 5248 ms
Thread: 2 	|| Run: 8 	|| Tempo: 5249 ms
Thread: 2 	|| Run: 9 	|| Tempo: 5263 ms
Thread: 1 	|| Run: 0 	|| Tempo: 10457 ms
Thread: 1 	|| Run: 1 	|| Tempo: 9879 ms
Thread: 1 	|| Run: 2 	|| Tempo: 10093 ms
Thread: 1 	|| Run: 3 	|| Tempo: 10049 ms
Thread: 1 	|| Run: 4 	|| Tempo: 10416 ms
Thread: 1 	|| Run: 5 	|| Tempo: 9859 ms
Thread: 1 	|| Run: 6 	|| Tempo: 9746 ms
Thread: 1 	|| Run: 7 	|| Tempo: 9737 ms
Thread: 1 	|| Run: 8 	|| Tempo: 9741 ms
Thread: 1 	|| Run: 9 	|| Tempo: 9732 ms
Thread: 20 	|| Run: 0 	|| Tempo: 917 ms
Thread: 20 	|| Run: 1 	|| Tempo: 916 ms
Thread: 20 	|| Run: 2 	|| Tempo: 922 ms
Thread: 20 	|| Run: 3 	|| Tempo: 922 ms
Thread: 20 	|| Run: 4 	|| Tempo: 921 ms
Thread: 20 	|| Run: 5 	|| Tempo: 923 ms
Thread: 20 	|| Run: 6 	|| Tempo: 923 ms
Thread: 20 	|| Run: 7 	|| Tempo: 926 ms
Thread: 20 	|| Run: 8 	|| Tempo: 1044 ms
Thread: 20 	|| Run: 9 	|| Tempo: 926 ms
Thread: 19 	|| Run: 0 	|| Tempo: 949 ms
Thread: 19 	|| Run: 1 	|| Tempo: 953 ms
Thread: 19 	|| Run: 2 	|| Tempo: 1005 ms
Thread: 19 	|| Run: 3 	|| Tempo: 954 ms
Thread: 19 	|| Run: 4 	|| Tempo: 950 ms
Thread: 19 	|| Run: 5 	|| Tempo: 1087 ms
Thread: 19 	|| Run: 6 	|| Tempo: 950 ms
Thread: 19 	|| Run: 7 	|| Tempo: 952 ms
Thread: 19 	|| Run: 8 	|| Tempo: 943 ms
Thread: 19 	|| Run: 9 	|| Tempo: 1012 ms
Thread: 18 	|| Run: 0 	|| Tempo: 981 ms
Thread: 18 	|| Run: 1 	|| Tempo: 983 ms
Thread: 18 	|| Run: 2 	|| Tempo: 1326 ms
Thread: 18 	|| Run: 3 	|| Tempo: 973 ms
Thread: 18 	|| Run: 4 	|| Tempo: 984 ms
Thread: 18 	|| Run: 5 	|| Tempo: 984 ms
Thread: 18 	|| Run: 6 	|| Tempo: 1394 ms
Thread: 18 	|| Run: 7 	|| Tempo: 980 ms
Thread: 18 	|| Run: 8 	|| Tempo: 981 ms
Thread: 18 	|| Run: 9 	|| Tempo: 980 ms
Thread: 17 	|| Run: 0 	|| Tempo: 1598 ms
Thread: 17 	|| Run: 1 	|| Tempo: 1010 ms
Thread: 17 	|| Run: 2 	|| Tempo: 1009 ms
Thread: 17 	|| Run: 3 	|| Tempo: 1008 ms
Thread: 17 	|| Run: 4 	|| Tempo: 1012 ms
Thread: 17 	|| Run: 5 	|| Tempo: 1073 ms
Thread: 17 	|| Run: 6 	|| Tempo: 1015 ms
Thread: 17 	|| Run: 7 	|| Tempo: 1014 ms
Thread: 17 	|| Run: 8 	|| Tempo: 1632 ms
Thread: 17 	|| Run: 9 	|| Tempo: 1012 ms
Thread: 16 	|| Run: 0 	|| Tempo: 1041 ms
Thread: 16 	|| Run: 1 	|| Tempo: 1045 ms
Thread: 16 	|| Run: 2 	|| Tempo: 1044 ms
Thread: 16 	|| Run: 3 	|| Tempo: 1150 ms
Thread: 16 	|| Run: 4 	|| Tempo: 1042 ms
Thread: 16 	|| Run: 5 	|| Tempo: 1021 ms
Thread: 16 	|| Run: 6 	|| Tempo: 1042 ms
Thread: 16 	|| Run: 7 	|| Tempo: 1072 ms
Thread: 16 	|| Run: 8 	|| Tempo: 1040 ms
Thread: 16 	|| Run: 9 	|| Tempo: 1043 ms
Thread: 15 	|| Run: 0 	|| Tempo: 1076 ms
Thread: 15 	|| Run: 1 	|| Tempo: 1065 ms
Thread: 15 	|| Run: 2 	|| Tempo: 1054 ms
Thread: 15 	|| Run: 3 	|| Tempo: 1052 ms
Thread: 15 	|| Run: 4 	|| Tempo: 1056 ms
Thread: 15 	|| Run: 5 	|| Tempo: 1051 ms
Thread: 15 	|| Run: 6 	|| Tempo: 1054 ms
Thread: 15 	|| Run: 7 	|| Tempo: 1054 ms
Thread: 15 	|| Run: 8 	|| Tempo: 1058 ms
Thread: 15 	|| Run: 9 	|| Tempo: 1057 ms
Thread: 14 	|| Run: 0 	|| Tempo: 1090 ms
Thread: 14 	|| Run: 1 	|| Tempo: 1129 ms
Thread: 14 	|| Run: 2 	|| Tempo: 1088 ms
Thread: 14 	|| Run: 3 	|| Tempo: 1087 ms
Thread: 14 	|| Run: 4 	|| Tempo: 1095 ms
Thread: 14 	|| Run: 5 	|| Tempo: 1404 ms
Thread: 14 	|| Run: 6 	|| Tempo: 1097 ms
Thread: 14 	|| Run: 7 	|| Tempo: 1094 ms
Thread: 14 	|| Run: 8 	|| Tempo: 1091 ms
Thread: 14 	|| Run: 9 	|| Tempo: 1093 ms
Thread: 13 	|| Run: 0 	|| Tempo: 1239 ms
Thread: 13 	|| Run: 1 	|| Tempo: 1134 ms
Thread: 13 	|| Run: 2 	|| Tempo: 1161 ms
Thread: 13 	|| Run: 3 	|| Tempo: 1140 ms
Thread: 13 	|| Run: 4 	|| Tempo: 1455 ms
Thread: 13 	|| Run: 5 	|| Tempo: 1151 ms
Thread: 13 	|| Run: 6 	|| Tempo: 1136 ms
Thread: 13 	|| Run: 7 	|| Tempo: 1142 ms
Thread: 13 	|| Run: 8 	|| Tempo: 1160 ms
Thread: 13 	|| Run: 9 	|| Tempo: 1317 ms
Thread: 12 	|| Run: 0 	|| Tempo: 1191 ms
Thread: 12 	|| Run: 1 	|| Tempo: 1223 ms
Thread: 12 	|| Run: 2 	|| Tempo: 1229 ms
Thread: 12 	|| Run: 3 	|| Tempo: 1188 ms
Thread: 12 	|| Run: 4 	|| Tempo: 1381 ms
Thread: 12 	|| Run: 5 	|| Tempo: 1196 ms
Thread: 12 	|| Run: 6 	|| Tempo: 1223 ms
Thread: 12 	|| Run: 7 	|| Tempo: 1205 ms
Thread: 12 	|| Run: 8 	|| Tempo: 1229 ms
Thread: 12 	|| Run: 9 	|| Tempo: 1769 ms
Thread: 11 	|| Run: 0 	|| Tempo: 1266 ms
Thread: 11 	|| Run: 1 	|| Tempo: 1273 ms
Thread: 11 	|| Run: 2 	|| Tempo: 1270 ms
Thread: 11 	|| Run: 3 	|| Tempo: 1275 ms
Thread: 11 	|| Run: 4 	|| Tempo: 1268 ms
Thread: 11 	|| Run: 5 	|| Tempo: 1929 ms
Thread: 11 	|| Run: 6 	|| Tempo: 1313 ms
Thread: 11 	|| Run: 7 	|| Tempo: 1265 ms
Thread: 11 	|| Run: 8 	|| Tempo: 1273 ms
Thread: 11 	|| Run: 9 	|| Tempo: 1286 ms
Thread: 10 	|| Run: 0 	|| Tempo: 2117 ms
Thread: 10 	|| Run: 1 	|| Tempo: 1444 ms
Thread: 10 	|| Run: 2 	|| Tempo: 1376 ms
Thread: 10 	|| Run: 3 	|| Tempo: 1361 ms
Thread: 10 	|| Run: 4 	|| Tempo: 1371 ms
Thread: 10 	|| Run: 5 	|| Tempo: 1365 ms
Thread: 10 	|| Run: 6 	|| Tempo: 1991 ms
Thread: 10 	|| Run: 7 	|| Tempo: 1434 ms
Thread: 10 	|| Run: 8 	|| Tempo: 1368 ms
Thread: 10 	|| Run: 9 	|| Tempo: 1369 ms
Thread: 9 	|| Run: 0 	|| Tempo: 1477 ms
Thread: 9 	|| Run: 1 	|| Tempo: 1469 ms
Thread: 9 	|| Run: 2 	|| Tempo: 2129 ms
Thread: 9 	|| Run: 3 	|| Tempo: 1614 ms
Thread: 9 	|| Run: 4 	|| Tempo: 1470 ms
Thread: 9 	|| Run: 5 	|| Tempo: 1468 ms
Thread: 9 	|| Run: 6 	|| Tempo: 1468 ms
Thread: 9 	|| Run: 7 	|| Tempo: 1473 ms
Thread: 9 	|| Run: 8 	|| Tempo: 1478 ms
Thread: 9 	|| Run: 9 	|| Tempo: 1475 ms
Thread: 8 	|| Run: 0 	|| Tempo: 2225 ms
Thread: 8 	|| Run: 1 	|| Tempo: 1886 ms
Thread: 8 	|| Run: 2 	|| Tempo: 1611 ms
Thread: 8 	|| Run: 3 	|| Tempo: 1611 ms
Thread: 8 	|| Run: 4 	|| Tempo: 1613 ms
Thread: 8 	|| Run: 5 	|| Tempo: 1612 ms
Thread: 8 	|| Run: 6 	|| Tempo: 1616 ms
Thread: 8 	|| Run: 7 	|| Tempo: 1610 ms
Thread: 8 	|| Run: 8 	|| Tempo: 1609 ms
Thread: 8 	|| Run: 9 	|| Tempo: 1614 ms
Thread: 7 	|| Run: 0 	|| Tempo: 1763 ms
Thread: 7 	|| Run: 1 	|| Tempo: 1763 ms
Thread: 7 	|| Run: 2 	|| Tempo: 1773 ms
