Thread: 20 	|| Run: 0 	|| Tempo: 14148 ms
Thread: 20 	|| Run: 1 	|| Tempo: 14011 ms
Thread: 20 	|| Run: 2 	|| Tempo: 14068 ms
Thread: 20 	|| Run: 3 	|| Tempo: 14664 ms
Thread: 20 	|| Run: 4 	|| Tempo: 14772 ms
Thread: 20 	|| Run: 5 	|| Tempo: 14887 ms
Thread: 20 	|| Run: 6 	|| Tempo: 15038 ms
Thread: 20 	|| Run: 7 	|| Tempo: 13917 ms
Thread: 20 	|| Run: 8 	|| Tempo: 14390 ms
Thread: 20 	|| Run: 9 	|| Tempo: 14423 ms
Thread: 19 	|| Run: 0 	|| Tempo: 14993 ms
Thread: 19 	|| Run: 1 	|| Tempo: 15006 ms
Thread: 19 	|| Run: 2 	|| Tempo: 15146 ms
Thread: 19 	|| Run: 3 	|| Tempo: 15296 ms
Thread: 19 	|| Run: 4 	|| Tempo: 14728 ms
Thread: 19 	|| Run: 5 	|| Tempo: 14794 ms
Thread: 19 	|| Run: 6 	|| Tempo: 14871 ms
Thread: 19 	|| Run: 7 	|| Tempo: 15018 ms
Thread: 19 	|| Run: 8 	|| Tempo: 15358 ms
Thread: 19 	|| Run: 9 	|| Tempo: 15289 ms
Thread: 18 	|| Run: 0 	|| Tempo: 15220 ms
Thread: 18 	|| Run: 1 	|| Tempo: 15379 ms
Thread: 18 	|| Run: 2 	|| Tempo: 15395 ms
Thread: 18 	|| Run: 3 	|| Tempo: 15591 ms
Thread: 18 	|| Run: 4 	|| Tempo: 15785 ms
Thread: 18 	|| Run: 5 	|| Tempo: 15363 ms
Thread: 18 	|| Run: 6 	|| Tempo: 15382 ms
Thread: 18 	|| Run: 7 	|| Tempo: 15546 ms
Thread: 18 	|| Run: 8 	|| Tempo: 15736 ms
Thread: 18 	|| Run: 9 	|| Tempo: 15308 ms
Thread: 17 	|| Run: 0 	|| Tempo: 15998 ms
Thread: 17 	|| Run: 1 	|| Tempo: 16233 ms
Thread: 17 	|| Run: 2 	|| Tempo: 15904 ms
Thread: 17 	|| Run: 3 	|| Tempo: 16159 ms
Thread: 17 	|| Run: 4 	|| Tempo: 16023 ms
Thread: 17 	|| Run: 5 	|| Tempo: 16086 ms
Thread: 17 	|| Run: 6 	|| Tempo: 16328 ms
Thread: 17 	|| Run: 7 	|| Tempo: 16192 ms
Thread: 17 	|| Run: 8 	|| Tempo: 16303 ms
Thread: 17 	|| Run: 9 	|| Tempo: 15995 ms
Thread: 16 	|| Run: 0 	|| Tempo: 16893 ms
Thread: 16 	|| Run: 1 	|| Tempo: 16554 ms
Thread: 16 	|| Run: 2 	|| Tempo: 16885 ms
Thread: 16 	|| Run: 3 	|| Tempo: 16642 ms
Thread: 16 	|| Run: 4 	|| Tempo: 16365 ms
Thread: 16 	|| Run: 5 	|| Tempo: 16706 ms
