Thread: 10 	|| Run: 4 	|| Tempo: 1956 ms
Thread: 10 	|| Run: 5 	|| Tempo: 1350 ms
Thread: 10 	|| Run: 6 	|| Tempo: 1295 ms
Thread: 10 	|| Run: 7 	|| Tempo: 1304 ms
Thread: 10 	|| Run: 8 	|| Tempo: 1295 ms
Thread: 10 	|| Run: 9 	|| Tempo: 2037 ms
Thread: 9 	|| Run: 0 	|| Tempo: 1524 ms
Thread: 9 	|| Run: 1 	|| Tempo: 1419 ms
Thread: 9 	|| Run: 2 	|| Tempo: 1400 ms
Thread: 9 	|| Run: 3 	|| Tempo: 1401 ms
Thread: 9 	|| Run: 4 	|| Tempo: 1396 ms
Thread: 9 	|| Run: 5 	|| Tempo: 1394 ms
Thread: 9 	|| Run: 6 	|| Tempo: 1972 ms
Thread: 9 	|| Run: 7 	|| Tempo: 1408 ms
Thread: 9 	|| Run: 8 	|| Tempo: 1393 ms
Thread: 9 	|| Run: 9 	|| Tempo: 1392 ms
Thread: 8 	|| Run: 0 	|| Tempo: 1519 ms
Thread: 8 	|| Run: 1 	|| Tempo: 1523 ms
Thread: 8 	|| Run: 2 	|| Tempo: 2171 ms
Thread: 8 	|| Run: 3 	|| Tempo: 1657 ms
Thread: 8 	|| Run: 4 	|| Tempo: 1520 ms
Thread: 8 	|| Run: 5 	|| Tempo: 1519 ms
Thread: 8 	|| Run: 6 	|| Tempo: 1520 ms
Thread: 8 	|| Run: 7 	|| Tempo: 1520 ms
Thread: 8 	|| Run: 8 	|| Tempo: 1519 ms
Thread: 8 	|| Run: 9 	|| Tempo: 1522 ms
Thread: 7 	|| Run: 0 	|| Tempo: 1674 ms
Thread: 7 	|| Run: 1 	|| Tempo: 2317 ms
Thread: 7 	|| Run: 2 	|| Tempo: 2220 ms
Thread: 7 	|| Run: 3 	|| Tempo: 1753 ms
Thread: 7 	|| Run: 4 	|| Tempo: 1680 ms
Thread: 7 	|| Run: 5 	|| Tempo: 1672 ms
Thread: 7 	|| Run: 6 	|| Tempo: 1674 ms
Thread: 7 	|| Run: 7 	|| Tempo: 1679 ms
Thread: 7 	|| Run: 8 	|| Tempo: 1675 ms
Thread: 7 	|| Run: 9 	|| Tempo: 1676 ms
Thread: 6 	|| Run: 0 	|| Tempo: 1868 ms
Thread: 6 	|| Run: 1 	|| Tempo: 1869 ms
Thread: 6 	|| Run: 2 	|| Tempo: 1872 ms
Thread: 6 	|| Run: 3 	|| Tempo: 1866 ms
Thread: 6 	|| Run: 4 	|| Tempo: 1867 ms
Thread: 6 	|| Run: 5 	|| Tempo: 1865 ms
Thread: 6 	|| Run: 6 	|| Tempo: 1868 ms
Thread: 6 	|| Run: 7 	|| Tempo: 1868 ms
Thread: 6 	|| Run: 8 	|| Tempo: 1870 ms
Thread: 6 	|| Run: 9 	|| Tempo: 1870 ms
Thread: 5 	|| Run: 0 	|| Tempo: 2232 ms
Thread: 5 	|| Run: 1 	|| Tempo: 2234 ms
Thread: 5 	|| Run: 2 	|| Tempo: 2233 ms
Thread: 5 	|| Run: 3 	|| Tempo: 2235 ms
Thread: 5 	|| Run: 4 	|| Tempo: 2231 ms
Thread: 5 	|| Run: 5 	|| Tempo: 2234 ms
Thread: 5 	|| Run: 6 	|| Tempo: 2233 ms
Thread: 5 	|| Run: 7 	|| Tempo: 2234 ms
Thread: 5 	|| Run: 8 	|| Tempo: 2238 ms
Thread: 5 	|| Run: 9 	|| Tempo: 2232 ms
Thread: 4 	|| Run: 0 	|| Tempo: 2698 ms
Thread: 4 	|| Run: 1 	|| Tempo: 2701 ms
Thread: 4 	|| Run: 2 	|| Tempo: 2682 ms
Thread: 4 	|| Run: 3 	|| Tempo: 2679 ms
Thread: 4 	|| Run: 4 	|| Tempo: 2702 ms
Thread: 4 	|| Run: 5 	|| Tempo: 2706 ms
Thread: 4 	|| Run: 6 	|| Tempo: 2704 ms
Thread: 4 	|| Run: 7 	|| Tempo: 2700 ms
Thread: 4 	|| Run: 8 	|| Tempo: 2677 ms
Thread: 4 	|| Run: 9 	|| Tempo: 2693 ms
Thread: 3 	|| Run: 0 	|| Tempo: 3562 ms
Thread: 3 	|| Run: 1 	|| Tempo: 3558 ms
Thread: 3 	|| Run: 2 	|| Tempo: 3555 ms
Thread: 3 	|| Run: 3 	|| Tempo: 3536 ms
Thread: 3 	|| Run: 4 	|| Tempo: 3557 ms
Thread: 3 	|| Run: 5 	|| Tempo: 3565 ms
Thread: 3 	|| Run: 6 	|| Tempo: 3552 ms
Thread: 3 	|| Run: 7 	|| Tempo: 3521 ms
Thread: 3 	|| Run: 8 	|| Tempo: 3562 ms
Thread: 3 	|| Run: 9 	|| Tempo: 3555 ms
Thread: 2 	|| Run: 0 	|| Tempo: 5208 ms
Thread: 2 	|| Run: 1 	|| Tempo: 5206 ms
Thread: 2 	|| Run: 2 	|| Tempo: 5185 ms
